user_id,avg_order_value,country,favorite_category,state,total_orders,total_spent,total_sessions,avg_session_duration_sec,personal_conversion_rate_pct,primary_device,primary_referrer,converted_sessions,engagement_score,clv_score,clv_tier
user_000000,1173.93,MZ,cat_012,DE,24,28174.22,64,1901.0,28.13,mobile,social,18,43.54,80.16,Premium
user_000001,1097.29,NL,cat_014,AS,17,18653.96,56,1776.0,17.86,desktop,direct,10,36.64,57.19,High Value
user_000002,1002.44,DJ,cat_008,PR,15,15036.53,58,1602.0,13.79,desktop,social,8,35.35,49.48,Medium Value
user_000003,1176.83,VA,cat_004,HI,17,20006.07,49,1970.0,22.45,tablet,social,11,36.19,59.17,Premium
user_000004,1055.86,RU,cat_016,NJ,15,15837.84,56,1890.0,14.29,tablet,direct,8,36.14,51.11,High Value
user_000005,1373.02,MA,cat_024,AL,18,24714.43,61,1736.0,22.95,tablet,affiliate,14,39.96,69.05,Premium
user_000006,1226.64,SK,cat_006,NC,18,22079.52,47,1877.0,14.89,tablet,affiliate,7,32.65,61.65,Premium
user_000007,1160.52,LY,cat_017,NJ,14,16247.25,39,1835.0,15.38,desktop,email,6,29.39,48.18,Medium Value
user_000008,910.1,VA,cat_010,MH,17,15471.71,49,1813.0,22.45,desktop,direct,11,35.4,51.53,High Value
user_000009,1287.09,SA,cat_021,PR,10,12870.9,51,1704.0,13.73,desktop,direct,7,33.04,41.66,Low Value
user_000010,1175.43,BE,cat_013,KY,21,24683.97,52,2241.0,23.08,tablet,affiliate,12,38.93,70.55,Premium
user_000011,954.47,PK,cat_004,CO,17,16225.95,45,1881.0,24.44,mobile,social,11,34.74,52.46,High Value
user_000012,967.51,SB,cat_010,DE,13,12577.69,46,1618.0,17.39,tablet,social,8,31.71,42.61,Low Value
user_000013,1082.92,AD,cat_003,OH,10,10829.25,37,1716.0,21.62,tablet,direct,8,29.87,37.0,Low Value
user_000014,960.45,TD,cat_022,IL,13,12485.8,52,1889.0,21.15,tablet,affiliate,11,36.59,44.57,Medium Value
